Array length,Registers,Run,Threads,Time,Percent error
30,14,11,1,41.2339291059998,0.646681
26,14,11,2,1.25539479299999,0.278581
27,14,11,2,2.53498055199998,0.453553
28,14,11,2,5.02303125699996,1.591019
29,14,11,2,10.031774391,0.534132
30,14,11,2,19.963822917,0.646681
26,14,11,3,0.848286170999984,0.278581
27,14,11,3,1.65319226899999,0.453553
28,14,11,3,3.39183692500001,1.591019
29,14,11,3,6.84751319599991,0.534132
30,14,11,3,13.2171704950001,0.646681
26,14,11,4,0.629724126999974,0.278581
27,14,11,4,1.244808788,0.453553
28,14,11,4,2.50163740800008,1.591019
29,14,11,4,4.95566715899986,0.534132
30,14,11,4,9.90544146699995,0.646681
26,14,11,5,0.63436816799998,0.278581
27,14,11,5,1.28106540700003,0.453553
28,14,11,5,2.60223841099992,1.591019
29,14,11,5,4.99864811800035,0.534132
30,14,11,5,10.1635274609998,0.646681
26,14,11,6,0.554225353999982,0.278581
27,14,11,6,1.09025234700005,0.453553
28,14,11,6,2.17806999900017,1.591019
29,14,11,6,4.27683261399989,0.534132
30,14,11,6,8.78510524100011,0.646681
26,14,11,7,0.502420513000004,0.278581
27,14,11,7,1.01000957999997,0.453553
28,14,11,7,2.03074164600002,1.591019
29,14,11,7,3.96133953100025,0.534132
30,14,11,7,7.86214723400008,0.646681
26,14,11,8,0.43766272900001,0.278581
27,14,11,8,0.875128953000058,0.453553
28,14,11,8,1.79660083599993,1.591019
29,14,11,8,3.47255876099962,0.534132
30,14,11,8,6.94016584899964,0.646681
26,14,12,1,2.48617332200001,0.278581
27,14,12,1,5.30068509700004,0.453553
28,14,12,1,9.89839781299997,1.591019
29,14,12,1,19.9517982849998,0.534132
30,14,12,1,39.9926079639999,0.646681
26,14,12,2,1.24901493699997,0.278581
27,14,12,2,2.48154926999996,0.453553
28,14,12,2,4.95005224400006,1.591019
29,14,12,2,9.94448069100008,0.534132
30,14,12,2,20.770493127,0.646681
26,14,12,3,0.840455174999988,0.278581
27,14,12,3,1.66703712000003,0.453553
28,14,12,3,3.29634167799986,1.591019
29,14,12,3,6.60117398800003,0.534132
30,14,12,3,13.1130147630001,0.646681
26,14,12,4,0.621089438000013,0.278581
27,14,12,4,1.23333806199992,0.453553
28,14,12,4,2.53204525700016,1.591019
29,14,12,4,5.00532083200005,0.534132
30,14,12,4,9.89111926199985,0.646681
26,14,12,5,0.645770964999997,0.278581
27,14,12,5,1.28193815999998,0.453553
28,14,12,5,2.61264690999997,1.591019
29,14,12,5,4.68901118400026,0.534132
30,14,12,5,10.0348427270001,0.646681
26,14,12,6,0.569195866999962,0.278581
27,14,12,6,1.1028368740001,0.453553
28,14,12,6,2.29548942800011,1.591019
29,14,12,6,4.29027016100008,0.534132
30,14,12,6,9.03849155900025,0.646681
26,14,12,7,0.496013038000001,0.278581
27,14,12,7,0.999389201000099,0.453553
28,14,12,7,2.0464789130001,1.591019
29,14,12,7,3.92114654999978,0.534132
30,14,12,7,7.87196180599994,0.646681
26,14,12,8,0.443710349000014,0.278581
27,14,12,8,0.875511195999934,0.453553
28,14,12,8,1.82419117500012,1.591019
29,14,12,8,3.48663260300009,0.534132
30,14,12,8,6.93672409800001,0.646681
26,14,13,1,2.60397790499997,0.278581
27,14,13,1,4.95634949599992,0.453553
28,14,13,1,10.1647660789999,1.591019
29,14,13,1,19.8520372460002,0.534132
30,14,13,1,39.5850148260001,0.646681
26,14,13,2,1.25378724300003,0.278581
27,14,13,2,2.51478980900004,0.453553
28,14,13,2,4.96214489399995,1.591019
29,14,13,2,10.0571531689998,0.534132
30,14,13,2,20.5602486839998,0.646681
26,14,13,3,0.834856206999973,0.278581
