Array length,Registers,Seed,Run,Threads,Time,Percent error
25,14,1,10,8,0.249159495000185,0.226281
26,14,1,10,8,0.480873685999995,0.278581
27,14,1,10,8,0.961118732999694,0.453553
28,14,1,10,8,1.93084344899989,1.591019
29,14,1,10,8,3.82783651099999,0.534132
30,14,1,10,8,7.55703288099994,0.646681
25,14,1,11,1,1.21783965399982,0.226281
26,14,1,11,1,2.7246417350002,0.278581
27,14,1,11,1,5.43593594200001,0.453553
28,14,1,11,1,11.102511567,1.591019
29,14,1,11,1,19.5797597840001,0.534132
30,14,1,11,1,38.8024287999997,0.646681
25,14,1,11,2,0.622334248999778,0.226281
26,14,1,11,2,1.36958640600005,0.278581
27,14,1,11,2,2.74086739599989,0.453553
28,14,1,11,2,5.21733411500009,1.591019
29,14,1,11,2,9.92897640499996,0.534132
30,14,1,11,2,19.4970954700002,0.646681
25,14,1,11,3,0.414170204999664,0.226281
26,14,1,11,3,0.899668940000083,0.278581
27,14,1,11,3,1.82427997600007,0.453553
28,14,1,11,3,3.68761757099992,1.591019
29,14,1,11,3,6.70288242900006,0.534132
30,14,1,11,3,13.1663845080002,0.646681
25,14,1,11,4,0.343521608999708,0.226281
26,14,1,11,4,0.881188584000029,0.278581
27,14,1,11,4,1.35606159700001,0.453553
28,14,1,11,4,2.71525517100008,1.591019
29,14,1,11,4,4.91713113100013,0.534132
30,14,1,11,4,9.72483892499986,0.646681
25,14,1,11,5,0.318857133000165,0.226281
26,14,1,11,5,0.622350519000065,0.278581
27,14,1,11,5,1.20277881099992,0.453553
28,14,1,11,5,2.40293831400004,1.591019
29,14,1,11,5,4.80497086200012,0.534132
30,14,1,11,5,9.75647447400024,0.646681
25,14,1,11,6,0.296907508999993,0.226281
26,14,1,11,6,0.605160940000133,0.278581
27,14,1,11,6,1.19841351600007,0.453553
28,14,1,11,6,2.32287575200007,1.591019
29,14,1,11,6,4.42191563599954,0.534132
30,14,1,11,6,9.09600943300029,0.646681
25,14,1,11,7,0.273595536000357,0.226281
26,14,1,11,7,0.540986357999827,0.278581
27,14,1,11,7,1.08345757999996,0.453553
28,14,1,11,7,2.13936909199992,1.591019
29,14,1,11,7,4.27127904899953,0.534132
30,14,1,11,7,8.17896044200006,0.646681
25,14,1,11,8,0.25370571700023,0.226281
26,14,1,11,8,0.48504978300025,0.278581
27,14,1,11,8,0.969033918999685,0.453553
28,14,1,11,8,1.91017358699992,1.591019
29,14,1,11,8,3.80451803100004,0.534132
30,14,1,11,8,7.58739389099992,0.646681
25,14,1,12,1,1.22550332600031,0.226281
26,14,1,12,1,2.7249870669998,0.278581
27,14,1,12,1,5.48316754200005,0.453553
28,14,1,12,1,10.4251488519999,1.591019
29,14,1,12,1,19.369331545,0.534132
30,14,1,12,1,38.8138121479997,0.646681
25,14,1,12,2,0.615738840000176,0.226281
26,14,1,12,2,1.39468536699997,0.278581
27,14,1,12,2,2.64285642999994,0.453553
28,14,1,12,2,5.15412938999998,1.591019
29,14,1,12,2,9.7236018829999,0.534132
30,14,1,12,2,19.4453551569995,0.646681
25,14,1,12,3,0.414812905999952,0.226281
26,14,1,12,3,0.914702198999748,0.278581
27,14,1,12,3,1.82663763499977,0.453553
28,14,1,12,3,3.72768426699986,1.591019
29,14,1,12,3,6.51530751199971,0.534132
30,14,1,12,3,12.9451914069996,0.646681
25,14,1,12,4,0.321948238000004,0.226281
26,14,1,12,4,0.699322172000393,0.278581
27,14,1,12,4,1.38142069299965,0.453553
28,14,1,12,4,2.64671036299978,1.591019
29,14,1,12,4,5.00159648499994,0.534132
30,14,1,12,4,11.5309997920003,0.646681
25,14,1,12,5,0.326241830000072,0.226281
26,14,1,12,5,0.643192476999957,0.278581
27,14,1,12,5,1.24788967199993,0.453553
28,14,1,12,5,2.80816302099993,1.591019
29,14,1,12,5,4.99155941699973,0.534132
30,14,1,12,5,9.82254092899984,0.646681
25,14,1,12,6,0.280836369999633,0.226281
26,14,1,12,6,0.590295710999726,0.278581
27,14,1,12,6,1.18563582099978,0.453553
28,14,1,12,6,2.36070515200026,1.591019
29,14,1,12,6,4.50663076000001,0.534132
30,14,1,12,6,9.08455381099975,0.646681
